!Xóõ	[u'ko']
'k	[u'/(\u0259)k/', u'/(\u0259)k/']
afkrijgen	[u'/\u02c8\u0251f.kr\u025b\u026a\u032f.\u03c7\u0259(n)/', u'/\u02c8\u0251f.kr\u025b\u02d0.\u0263\u0259(n)/', u'/\u02c8\u0251f.kr\u025b\u026a\u032f.\u0263\u0259(n)/']
aflaat	[u'/\u02c8\u0251flat/']
aflaatbrief	[u'/\u02c8\u0251flat\u02ccbrif/']
afloop	[u'/\u02c8\u0251flop/', u'/\u02c8\u0251flo\u028a\u032fp/', u'/\u02c8\u0251flo\u02d0p/']
aflopen	[u'/\u02c8\u0251flop\u0259(n)/', u'/\u02c8\u0251flo\u028a\u032fp\u0259(n)/', u'/\u02c8\u0251flo\u02d0p\u0259(n)/']
afpassen	[u"/'\u0251fp\u0251s\u0259(n)/"]
afpersing	[u'/\u02c8\u0251f.p\u025br.s\u026a\u014b/', u'/\u02c8\u0251f.p\u025br.s\u026a\u014b/']
afrekening	[u'/\u02c8\u0251frek\u0259n\u026a\u014b/']
Afrikaan	[u"/afri'kan/"]
Afrikaans	[u'/afri\u02c8ka\u02d0ns/']
afscheidsgroet	[u'/\u02c8\u0251fs\u03c7\u025b\u026ats\u02cc\u03c7rut/']
afscheren	[u'/\u02c8\u0251f.s\u03c7\u026a\u02d0r\u0259(n)/', u'/\u02c8\u0251f.sxe\u02d0r\u0259(n)/']
afscheuren	[u'/\u02c8\u0251fsx\xf8r\u0259(n)/']
afschieten	[u"/'\u0251f.sxi.t\u0259(n)/"]
afschilderen	[u'/\u0251fsx\u026ald\u0259r\u0259(n)/']
afschrijven	[u'/\u02c8\u0251fsxr\u025b\u026av\u0259(n)/']
afslachting	[u'/\u02c8\u0251fsl\u0251xt\u026a\u014b/']
afsluiten	[u"/'\u0251f.sl\u028c\u028f.t\u0259(n)/"]
afsnauwen	[u'/\u0251fsn\u0254u\u0259(n)/']
afspraak	[u'/\u02c8\u0251fsprak/']
afstand	[u'/\u02c8\u0251fst\u0251nt/']
afstellen	[u"/'\u0251fst\u025bl\u0259(n)/"]
afstemmen	[u"/'\u0251fst\u025bm\u0259(n)/"]
afstemoog	[u'/\u0251fst\u025bmox/']
afstoffen	[u'/\u02c8\u0251fst\u0254f\u0259(n)/']
aft	[u'/\u0251ft/', u'/\u0251ft/', u'/\u0251f/']
aftrap	[u'/\u02c8\u0251ftr\u0251p/']
aftrekking	[u'/\u02c8\u0251ftr\u025bk\u026a\u014b/']
aftreksel	[u'/\u02c8\u0251ftr\u025bks\u0259\u026b/']
aftroggelen	[u'/\u02c8\u0251ftr\u0254\u0263\u0259l\u0259(n)/']
afvaardigen	[u'/\u02c8\u0251\u02ccfa\u02d0rd\u0259\u0263\u0259(n)/']
afvallen	[u'/ \u02c8\u0251f\u0251l\u0259(n) /']
afvraagde	[u'/\u02c8\u0251fra\u0263d\u0259/']
afvraagden	[u'/\u02c8\u0251fra\u0263d\u0259(n)/']
afvroeg	[u'/\u02c8\u0251fru\u0263/']
afvroegen	[u'/\u02c8\u0251fru\u0263\u0259(n)/']
